0	0	
0.00833333	0	
0.0166667	0	
0.025	0	
0.0333333	0	
0.0416667	0	
0.05	0	
0.0583333	0	
0.0666667	0	
0.075	0	
0.0833333	0	
0.0916667	0	
0.1	0	
0.108333	0	
0.116667	0	
0.125	0	
0.133333	0	
0.141667	0	
0.15	0	
0.158333	0	
0.166667	0	
0.175	0	
0.183333	0	
0.191667	0	
0.2	0	
0.208333	0	
0.216667	0	
0.225	0	
0.233333	0	
0.241667	0	
0.25	0	
0.258333	0	
0.266667	0	
0.275	0	
0.283333	0	
0.291667	0	
0.3	0	
0.308333	0	
0.316667	0	
0.325	0	
0.333333	0	
0.341667	0	
0.35	0	
0.358333	0	
0.366667	0	
0.375	0	
0.383333	0	
0.391667	0	
0.4	0	
0.408333	0	
0.416667	0	
0.425	0	
0.433333	0	
0.441667	0	
0.45	0	
0.458333	0	
0.466667	0	
0.475	0	
0.483333	0	
0.491667	0	
0.5	0	
0.508333	0	
0.516667	0	
0.525	0	
0.533333	0	
0.541667	0	
0.55	1	0.541667	3.01936	3.50169		8.68822	23	PlaneBasedCellKiller		
0.558333	0	
0.566667	0	
0.575	0	
0.583333	0	
0.591667	0	
0.6	0	
0.608333	0	
0.616667	0	
0.625	0	
0.633333	0	
0.641667	0	
0.65	0	
0.658333	0	
0.666667	0	
0.675	0	
0.683333	0	
0.691667	0	
0.7	0	
0.708333	0	
0.716667	0	
0.725	0	
0.733333	0	
0.741667	0	
0.75	0	
0.758333	0	
0.766667	0	
0.775	0	
0.783333	0	
0.791667	0	
0.8	0	
0.808333	0	
0.816667	0	
0.825	0	
0.833333	0	
0.841667	0	
0.85	0	
0.858333	0	
0.866667	0	
0.875	0	
0.883333	0	
0.891667	0	
0.9	0	
0.908333	0	
0.916667	0	
0.925	0	
0.933333	0	
0.941667	0	
0.95	0	
0.958333	0	
0.966667	0	
0.975	0	
0.983333	0	
0.991667	0	
1	0	
